size,type,algorithm,time_us,comparisons
100,random,quicksort,230,17925
100,random,mergesort,54,589
100,random,string_quicksort,19,536
100,random,string_mergesort,69,48
100,random,msd_radix,68,0
100,random,msd_radix_switch,28,74
200,random,quicksort,458,34239
200,random,mergesort,120,1488
200,random,string_quicksort,52,1496
200,random,string_mergesort,156,137
200,random,msd_radix,134,0
200,random,msd_radix_switch,62,254
300,random,quicksort,659,47974
300,random,mergesort,202,2529
300,random,string_quicksort,76,2209
300,random,string_mergesort,264,237
300,random,msd_radix,182,0
300,random,msd_radix_switch,88,480
400,random,quicksort,881,65319
400,random,mergesort,295,3679
400,random,string_quicksort,109,2961
400,random,string_mergesort,379,345
400,random,msd_radix,240,0
400,random,msd_radix_switch,122,835
500,random,quicksort,1138,82646
500,random,mergesort,408,4877
500,random,string_quicksort,162,4590
500,random,string_mergesort,492,454
500,random,msd_radix,296,0
500,random,msd_radix_switch,154,1143
600,random,quicksort,1360,98343
600,random,mergesort,493,6123
600,random,string_quicksort,167,5016
600,random,string_mergesort,604,560
600,random,msd_radix,342,0
600,random,msd_radix_switch,186,1456
700,random,quicksort,1561,117372
700,random,mergesort,582,7456
700,random,string_quicksort,220,6269
700,random,string_mergesort,726,671
700,random,msd_radix,397,0
700,random,msd_radix_switch,225,1854
800,random,quicksort,1765,133261
800,random,mergesort,692,8841
800,random,string_quicksort,253,7693
800,random,string_mergesort,852,791
800,random,msd_radix,461,0
800,random,msd_radix_switch,258,2278
900,random,quicksort,2024,149945
900,random,mergesort,798,10250
900,random,string_quicksort,294,8537
900,random,string_mergesort,973,913
900,random,msd_radix,530,0
900,random,msd_radix_switch,296,2777
1000,random,quicksort,2284,171707
1000,random,mergesort,895,11647
1000,random,string_quicksort,323,9041
1000,random,string_mergesort,1087,1023
1000,random,msd_radix,567,0
1000,random,msd_radix_switch,323,3211
1100,random,quicksort,2519,186261
1100,random,mergesort,988,13072
1100,random,string_quicksort,374,10858
1100,random,string_mergesort,1210,1137
1100,random,msd_radix,639,0
1100,random,msd_radix_switch,362,3691
1200,random,quicksort,2806,206545
1200,random,mergesort,1106,14573
1200,random,string_quicksort,423,12656
1200,random,string_mergesort,1333,1250
1200,random,msd_radix,696,0
1200,random,msd_radix_switch,406,4302
1300,random,quicksort,3113,220319
1300,random,mergesort,1219,16071
1300,random,string_quicksort,438,12783
1300,random,string_mergesort,1456,1375
1300,random,msd_radix,779,0
1300,random,msd_radix_switch,444,4808
1400,random,quicksort,3418,240798
1400,random,mergesort,1339,17620
1400,random,string_quicksort,516,15174
1400,random,string_mergesort,1573,1506
1400,random,msd_radix,870,0
1400,random,msd_radix_switch,481,5264
1500,random,quicksort,3518,248712
1500,random,mergesort,1438,19219
1500,random,string_quicksort,519,15264
1500,random,string_mergesort,1719,1631
1500,random,msd_radix,938,0
1500,random,msd_radix_switch,518,5820
1600,random,quicksort,3783,267006
1600,random,mergesort,1559,20806
1600,random,string_quicksort,599,18180
1600,random,string_mergesort,1850,1752
1600,random,msd_radix,1020,0
1600,random,msd_radix_switch,554,6401
1700,random,quicksort,3939,285207
1700,random,mergesort,1662,22387
1700,random,string_quicksort,640,19082
1700,random,string_mergesort,1970,1879
1700,random,msd_radix,1092,0
1700,random,msd_radix_switch,590,6874
1800,random,quicksort,4348,309946
1800,random,mergesort,1958,24005
1800,random,string_quicksort,658,18151
1800,random,string_mergesort,2044,2006
1800,random,msd_radix,1168,0
1800,random,msd_radix_switch,626,7192
1900,random,quicksort,4456,317014
1900,random,mergesort,1865,25636
1900,random,string_quicksort,671,19104
1900,random,string_mergesort,2270,2137
1900,random,msd_radix,1278,0
1900,random,msd_radix_switch,686,8104
2000,random,quicksort,4731,337080
2000,random,mergesort,2044,27232
2000,random,string_quicksort,816,25037
2000,random,string_mergesort,2401,2261
2000,random,msd_radix,1338,0
2000,random,msd_radix_switch,713,8512
2100,random,quicksort,4968,352800
2100,random,mergesort,2156,28935
2100,random,string_quicksort,787,24027
2100,random,string_mergesort,2507,2394
2100,random,msd_radix,1412,0
2100,random,msd_radix_switch,747,9261
2200,random,quicksort,5526,380093
2200,random,mergesort,2272,30532
2200,random,string_quicksort,791,23634
2200,random,string_mergesort,2645,2517
2200,random,msd_radix,1441,0
2200,random,msd_radix_switch,747,9798
2300,random,quicksort,5342,387262
2300,random,mergesort,2327,32310
2300,random,string_quicksort,833,24239
2300,random,string_mergesort,2750,2651
2300,random,msd_radix,1557,0
2300,random,msd_radix_switch,846,10449
2400,random,quicksort,5460,399514
2400,random,mergesort,2450,34023
2400,random,string_quicksort,874,25848
2400,random,string_mergesort,2926,2787
2400,random,msd_radix,1633,0
2400,random,msd_radix_switch,874,10872
2500,random,quicksort,5978,427404
2500,random,mergesort,2563,35747
2500,random,string_quicksort,934,27411
2500,random,string_mergesort,3024,2925
2500,random,msd_radix,1722,0
2500,random,msd_radix_switch,907,11428
2600,random,quicksort,6260,441913
2600,random,mergesort,2589,37519
2600,random,string_quicksort,892,28321
2600,random,string_mergesort,3002,3063
2600,random,msd_radix,1728,0
2600,random,msd_radix_switch,911,11230
2700,random,quicksort,6010,460083
2700,random,mergesort,2674,39251
2700,random,string_quicksort,918,28968
2700,random,string_mergesort,3081,3197
2700,random,msd_radix,1789,0
2700,random,msd_radix_switch,936,11132
2800,random,quicksort,6660,483038
2800,random,mergesort,2783,40954
2800,random,string_quicksort,1043,33001
