size,type,algorithm,time_us,comparisons
100,random,quicksort,186,14546
100,random,mergesort,54,588
100,random,string_quicksort,21,608
100,random,string_mergesort,68,46
100,random,msd_radix,120,0
100,random,msd_radix_switch,26,60
200,random,quicksort,393,30226
200,random,mergesort,118,1480
200,random,string_quicksort,48,1375
200,random,string_mergesort,151,137
200,random,msd_radix,246,0
200,random,msd_radix_switch,57,227
300,random,quicksort,638,48833
300,random,mergesort,203,2542
300,random,string_quicksort,77,2349
300,random,string_mergesort,251,237
300,random,msd_radix,327,0
300,random,msd_radix_switch,85,423
400,random,quicksort,873,67045
400,random,mergesort,283,3663
400,random,string_quicksort,106,3258
400,random,string_mergesort,347,347
400,random,msd_radix,415,0
400,random,msd_radix_switch,114,705
500,random,quicksort,1123,84755
500,random,mergesort,376,4868
500,random,string_quicksort,137,4255
500,random,string_mergesort,457,455
500,random,msd_radix,474,0
500,random,msd_radix_switch,148,983
600,random,quicksort,1312,98379
600,random,mergesort,495,6151
600,random,string_quicksort,175,5256
600,random,string_mergesort,581,569
600,random,msd_radix,534,0
600,random,msd_radix_switch,183,1360
700,random,quicksort,1564,117520
700,random,mergesort,563,7425
700,random,string_quicksort,213,6359
700,random,string_mergesort,693,686
700,random,msd_radix,620,0
700,random,msd_radix_switch,208,1712
800,random,quicksort,1811,133669
800,random,mergesort,648,8781
800,random,string_quicksort,233,7213
800,random,string_mergesort,788,795
800,random,msd_radix,684,0
800,random,msd_radix_switch,239,2008
900,random,quicksort,1963,144594
900,random,mergesort,757,10155
900,random,string_quicksort,310,9900
900,random,string_mergesort,905,909
900,random,msd_radix,760,0
900,random,msd_radix_switch,280,2526
1000,random,quicksort,2079,160150
1000,random,mergesort,847,11564
1000,random,string_quicksort,308,9600
1000,random,string_mergesort,1019,1023
1000,random,msd_radix,821,0
1000,random,msd_radix_switch,318,2897
1100,random,quicksort,2325,180373
1100,random,mergesort,955,13048
1100,random,string_quicksort,334,10415
1100,random,string_mergesort,1166,1141
1100,random,msd_radix,937,0
